feature,value,position,modification
event_mean,78.61,2,1
event_stdv,1.671,2,1
event_length,0.00432,2,1
event_mean,110.87444,-2,1
event_stdv,2.653389,-2,1
event_length,0.003133,-2,1
event_mean,111.86,-1,1
event_stdv,2.279,-1,1
event_length,0.00564,-1,1
event_mean,120.61,0,1
event_stdv,5.559,0,1
event_length,0.00664,0,1
event_mean,88.74,1,1
event_stdv,2.941,1,1
event_length,0.00896,1,1
event_mean,77.45,2,1
event_stdv,2.407,2,1
event_length,0.00365,2,1
event_mean,110.866,-2,1
event_stdv,2.0326,-2,1
event_length,0.006906,-2,1
event_mean,114.62,-1,1
event_stdv,4.373,-1,1
event_length,0.00465,-1,1
event_mean,114.78,0,1
event_stdv,5.567,0,1
event_length,0.00432,0,1
event_mean,87.228,1,1
event_stdv,1.27076,1,1
event_length,0.005459,1,1
event_mean,87.02765,2,1
event_stdv,3.236824,2,1
event_length,0.002908,2,1
event_mean,109.40182,-2,1
event_stdv,2.211307,-2,1
event_length,0.006324,-2,1
event_mean,116.8,-1,1
event_stdv,4.12,-1,1
event_length,0.00564,-1,1
event_mean,85.6,1,1
event_stdv,3.352,1,1
event_length,0.00631,1,1
event_mean,77.50944,2,1
event_stdv,1.870972,2,1
event_length,0.004222,2,1
event_mean,107.17,-2,1
event_stdv,2.566,-2,1
event_length,0.01195,-2,1
event_mean,90.47,1,1
event_stdv,3.502,1,1
event_length,0.00996,1,1
event_mean,79.28778,2,1
event_stdv,1.951389,2,1
event_length,0.010736,2,1
event_mean,109.7445,-2,1
event_stdv,3.13975,-2,1
event_length,0.009662,-2,1
event_mean,122.42,-1,1
event_stdv,2.353,-1,1
event_length,0.00266,-1,1
event_mean,115.94,0,1
event_stdv,8.884,0,1
event_length,0.00963,0,1
event_mean,88.637856,1,1
event_stdv,2.284167,1,1
event_length,0.007986,1,1
event_mean,79.20528,2,1
event_stdv,1.810472,2,1
event_length,0.005994,2,1
event_mean,113.56,-2,1
event_stdv,2.299,-2,1
event_length,0.00896,-2,1
event_mean,124.0,-1,1
event_stdv,2.13,-1,1
event_length,0.00564,-1,1
event_mean,124.23,0,1
event_stdv,3.799,0,1
event_length,0.00963,0,1
event_mean,90.87867,1,1
event_stdv,1.996533,1,1
event_length,0.003478,1,1
event_mean,84.88,2,1
event_stdv,1.939,2,1
event_length,0.00199,2,1
event_mean,108.81,-2,1
event_stdv,2.773,-2,1
event_length,0.00365,-2,1
event_mean,114.28,-1,1
event_stdv,1.682,-1,1
event_length,0.00232,-1,1
event_mean,117.32429,0,1
event_stdv,8.624857,0,1
event_length,0.008251,0,1
event_mean,87.86,1,1
event_stdv,1.474,1,1
event_length,0.00432,1,1
event_mean,78.19,2,1
event_stdv,1.525,2,1
event_length,0.00664,2,1
event_mean,100.76,-2,1
event_stdv,3.658,-2,1
event_length,0.00199,-2,1
event_mean,115.06,-1,1
event_stdv,1.915,-1,1
event_length,0.0083,-1,1
event_mean,122.62125,0,1
event_stdv,5.613911,0,1
event_length,0.006794,0,1
event_mean,87.55789,1,1
event_stdv,1.769211,1,1
event_length,0.005612,1,1
event_mean,77.19,2,1
event_stdv,2.066,2,1
event_length,0.01129,2,1
event_mean,109.22089,-2,1
event_stdv,2.245978,-2,1
event_length,0.009205,-2,1
event_mean,111.37,-1,1
event_stdv,2.114,-1,1
event_length,0.00365,-1,1
event_mean,121.06,0,1
event_stdv,7.375,0,1
event_length,0.00465,0,1
event_mean,88.68444,1,1
event_stdv,1.583222,1,1
event_length,0.003027,1,1
event_mean,77.69,2,1
event_stdv,2.028,2,1
event_length,0.0083,2,1
event_mean,113.79204,-2,1
event_stdv,4.636673,-2,1
event_length,0.007404,-2,1
event_mean,123.83,-1,1
event_stdv,5.947,-1,1
event_length,0.00266,-1,1
event_mean,108.03,0,1
event_stdv,15.605,0,1
event_length,0.00299,0,1
event_mean,91.1,1,1
event_stdv,1.638,1,1
event_length,0.00365,1,1
event_mean,78.12308,2,1
event_stdv,2.318615,2,1
event_length,0.005236,2,1
event_mean,109.03,-2,1
event_stdv,3.259,-2,1
event_length,0.00564,-2,1
event_mean,116.31,-1,1
event_stdv,2.187,-1,1
event_length,0.0093,-1,1
event_mean,115.6,0,1
event_stdv,7.271,0,1
event_length,0.01627,0,1
event_mean,85.63,1,1
event_stdv,1.362,1,1
event_length,0.00398,1,1
event_mean,81.15611,2,1
event_stdv,1.469222,2,1
event_length,0.004556,2,1
event_mean,112.12,-2,1
event_stdv,1.574,-2,1
event_length,0.00697,-2,1
event_mean,114.46,-1,1
event_stdv,2.005,-1,1
event_length,0.00631,-1,1
event_mean,122.1607,0,1
event_stdv,5.80351,0,1
event_length,0.009861,0,1
event_mean,88.404,1,1
event_stdv,1.3792,1,1
event_length,0.003452,1,1
event_mean,77.07938,2,1
event_stdv,1.815275,2,1
event_length,0.009238,2,1
event_mean,109.46,-2,1
event_stdv,2.894,-2,1
event_length,0.00232,-2,1
event_mean,123.9,-1,1
event_stdv,4.415,-1,1
event_length,0.00863,-1,1
event_mean,109.5,0,1
event_stdv,14.49,0,1
event_length,0.00432,0,1
event_mean,86.47,1,1
event_stdv,1.928,1,1
event_length,0.01162,1,1
event_mean,75.83,2,1
event_stdv,1.938,2,1
event_length,0.00598,2,1
event_mean,105.59385,-2,1
event_stdv,2.447901,-2,1
event_length,0.007577,-2,1
event_mean,113.66,-1,1
event_stdv,2.217,-1,1
event_length,0.00598,-1,1
event_mean,123.38648,0,1
event_stdv,2.886568,0,1
event_length,0.006149,0,1
event_mean,91.43243,1,1
event_stdv,3.622333,1,1
event_length,0.00548,1,1
event_mean,79.948,2,1
event_stdv,2.8766,2,1
event_length,0.003452,2,1
event_mean,99.38,-2,1
event_stdv,3.174,-2,1
event_length,0.00797,-2,1
event_mean,113.86793,-1,1
event_stdv,1.756132,-1,1
event_length,0.006284,-1,1
event_mean,122.529274,0,1
event_stdv,5.538552,0,1
event_length,0.008085,0,1
event_mean,90.0124,1,1
event_stdv,2.40228,1,1
event_length,0.004157,1,1
event_mean,79.25,2,1
event_stdv,1.822,2,1
event_length,0.0093,2,1
event_mean,112.65,-2,1
event_stdv,2.999,-2,1
event_length,0.01162,-2,1
event_mean,117.45,-1,1
event_stdv,4.072379,-1,1
event_length,0.01256,-1,1
event_mean,105.12,0,1
event_stdv,12.649,0,1
event_length,0.00465,0,1
event_mean,86.47,1,1
event_stdv,1.842,1,1
event_length,0.00398,1,1
event_mean,81.93219,2,1
event_stdv,2.75314,2,1
event_length,0.007781,2,1
event_mean,109.29977,-2,1
event_stdv,1.94507,-2,1
event_length,0.005937,-2,1
event_mean,120.62,-1,1
event_stdv,2.439,-1,1
event_length,0.00797,-1,1
event_mean,121.77442,0,1
event_stdv,7.316808,0,1
event_length,0.006396,0,1
event_mean,89.0475,1,1
event_stdv,2.017,1,1
event_length,0.004485,1,1
event_mean,78.1,2,1
event_stdv,1.515,2,1
event_length,0.00896,2,1
event_mean,99.86,-2,1
event_stdv,3.758,-2,1
event_length,0.00498,-2,1
event_mean,115.02571,-1,1
event_stdv,2.061857,-1,1
event_length,0.005503,-1,1
event_mean,123.6,0,1
event_stdv,5.405,0,1
event_length,0.02224,0,1
event_mean,89.92449,1,1
event_stdv,1.683796,1,1
event_length,0.003667,1,1
event_mean,76.0616,2,1
event_stdv,1.1334,2,1
event_length,0.004157,2,1
event_mean,108.070816,-2,1
event_stdv,2.320337,-2,1
event_length,0.021229,-2,1
event_mean,117.54905,-1,1
event_stdv,3.764821,-1,1
event_length,0.010661,-1,1
event_mean,111.55,0,1
event_stdv,7.203,0,1
event_length,0.00465,0,1
event_mean,85.09,1,1
event_stdv,1.846,1,1
event_length,0.00465,1,1
event_mean,77.15,2,1
event_stdv,1.195,2,1
event_length,0.00299,2,1
event_mean,110.59,-2,1
event_stdv,2.179,-2,1
event_length,0.00598,-2,1
event_mean,122.84254,-1,1
event_stdv,1.673365,-1,1
event_length,0.014884,-1,1
event_mean,125.79,0,1
event_stdv,3.681,0,1
event_length,0.00664,0,1
event_mean,91.075,1,1
event_stdv,2.093,1,1
event_length,0.003485,1,1
event_mean,78.21,2,1
event_stdv,1.616,2,1
event_length,0.00531,2,1
event_mean,113.99,-2,1
event_stdv,2.53,-2,1
event_length,0.00797,-2,1
event_mean,124.39,-1,1
event_stdv,2.915,-1,1
event_length,0.00465,-1,1
event_mean,124.380714,0,1
event_stdv,2.852714,0,1
event_length,0.003841,0,1
event_mean,88.672356,1,1
event_stdv,1.377294,1,1
event_length,0.002835,1,1
event_mean,78.56,2,1
event_stdv,1.724,2,1
event_length,0.00598,2,1
event_mean,98.790344,-2,1
event_stdv,1.843552,-2,1
event_length,0.006098,-2,1
event_mean,119.557434,-1,1
event_stdv,9.110436,-1,1
event_length,0.007706,-1,1
event_mean,123.8904,0,1
event_stdv,5.75916,0,1
event_length,0.004157,0,1
event_mean,91.47,1,1
event_stdv,2.079,1,1
event_length,0.00232,1,1
event_mean,83.78,2,1
event_stdv,2.101,2,1
event_length,0.00398,2,1
event_mean,111.08,-2,1
event_stdv,2.142,-2,1
event_length,0.01627,-2,1
event_mean,117.838104,-1,1
event_stdv,2.607586,-1,1
event_length,0.005783,-1,1
event_mean,113.1,0,1
event_stdv,5.612,0,1
event_length,0.0073,0,1
event_mean,87.7,1,1
event_stdv,3.003,1,1
event_length,0.00432,1,1
event_mean,79.53643,2,1
event_stdv,1.933571,2,1
event_length,0.004674,2,1
event_mean,115.43,-1,1
event_stdv,1.484,-1,1
event_length,0.00498,-1,1
event_mean,124.46,0,1
event_stdv,6.225,0,1
event_length,0.01328,0,1
event_mean,90.89432,1,1
event_stdv,2.508157,1,1
event_length,0.008859,1,1
event_mean,76.56,2,1
event_stdv,1.857,2,1
event_length,0.00797,2,1
event_mean,111.37111,-2,1
event_stdv,1.539556,-2,1
event_length,0.003133,-2,1
event_mean,113.85,-1,1
event_stdv,2.219,-1,1
event_length,0.01992,-1,1
event_mean,121.35,0,1
event_stdv,7.523,0,1
event_length,0.01959,0,1
event_mean,90.98,1,1
event_stdv,2.438,1,1
event_length,0.00299,1,1
event_mean,82.21,2,1
event_stdv,3.122,2,1
event_length,0.00498,2,1
event_mean,110.614784,-2,1
event_stdv,2.102744,-2,1
event_length,0.02074,-2,1
event_mean,115.07202,-1,1
event_stdv,6.389273,-1,1
event_length,0.011212,-1,1
event_mean,116.42,0,1
event_stdv,3.287,0,1
event_length,0.00232,0,1
event_mean,86.14,1,1
event_stdv,1.736,1,1
event_length,0.00797,1,1
event_mean,76.63909,2,1
event_stdv,1.722545,2,1
event_length,0.012827,2,1
event_mean,112.32192,-2,1
event_stdv,2.240692,-2,1
event_length,0.006182,-2,1
event_mean,121.85,-1,1
event_stdv,6.987,-1,1
event_length,0.0083,-1,1
event_mean,122.47,0,1
event_stdv,11.258,0,1
event_length,0.0073,0,1
event_mean,89.87,1,1
event_stdv,2.914,1,1
event_length,0.00564,1,1
event_mean,78.02688,2,1
event_stdv,1.47725,2,1
event_length,0.002697,2,1
event_mean,109.86,-2,1
event_stdv,2.348,-2,1
event_length,0.00863,-2,1
event_mean,121.22706,-1,1
event_stdv,2.217294,-1,1
event_length,0.002908,-1,1
event_mean,124.85,0,1
event_stdv,5.342,0,1
event_length,0.00697,0,1
event_mean,91.81333,1,1
event_stdv,2.865333,1,1
event_length,0.003027,1,1
event_mean,83.26,2,1
event_stdv,2.09,2,1
event_length,0.00531,2,1
event_mean,112.89883,-2,1
event_stdv,3.841608,-2,1
event_length,0.003469,-2,1
event_mean,116.747025,-1,1
event_stdv,5.544394,-1,1
event_length,0.006506,-1,1
event_mean,112.46,0,1
event_stdv,5.352,0,1
event_length,0.01594,0,1
event_mean,85.72,1,1
event_stdv,1.777,1,1
event_length,0.00299,1,1
event_mean,81.973694,2,1
event_stdv,2.029493,2,1
event_length,0.017173,2,1
event_mean,115.74,-2,1
event_stdv,6.493,-2,1
event_length,0.04316,-2,1
event_mean,119.67,-1,1
event_stdv,11.519,-1,1
event_length,0.01394,-1,1
event_mean,124.45,0,1
event_stdv,5.976,0,1
event_length,0.00266,0,1
event_mean,91.14,1,1
event_stdv,3.533,1,1
event_length,0.00531,1,1
event_mean,83.49,2,1
event_stdv,1.332,2,1
event_length,0.00398,2,1
event_mean,114.96602,-2,1
event_stdv,5.284887,-2,1
event_length,0.007438,-2,1
event_mean,119.64,-1,1
event_stdv,5.569,-1,1
event_length,0.00797,-1,1
event_mean,112.86,0,1
event_stdv,9.894,0,1
event_length,0.01129,0,1
event_mean,86.293335,1,1
event_stdv,1.807333,1,1
event_length,0.004427,1,1
event_mean,81.6875,2,1
event_stdv,1.4995,2,1
event_length,0.006642,2,1
event_mean,116.72478,-2,1
event_stdv,5.582712,-2,1
event_length,0.02514,-2,1
event_mean,116.81046,-1,1
event_stdv,4.217116,-1,1
event_length,0.010382,-1,1
event_mean,121.77876,0,1
event_stdv,5.067742,0,1
event_length,0.008717,0,1
event_mean,87.13,1,1
event_stdv,2.255,1,1
event_length,0.00963,1,1
event_mean,81.99458,2,1
event_stdv,1.49775,2,1
event_length,0.004013,2,1
event_mean,115.55636,-2,1
event_stdv,5.048811,-2,1
event_length,0.00892,-2,1
event_mean,116.44,-1,1
event_stdv,3.918,-1,1
event_length,0.0239,-1,1
event_mean,112.76,0,1
event_stdv,3.481,0,1
event_length,0.00465,0,1
event_mean,86.585,1,1
event_stdv,2.17095,1,1
event_length,0.00362,1,1
event_mean,74.54,2,1
event_stdv,0.926,2,1
event_length,0.0073,2,1
event_mean,116.56661,-2,1
event_stdv,4.700893,-2,1
event_length,0.007573,-2,1
event_mean,118.470604,-1,1
event_stdv,5.682841,-1,1
event_length,0.033989,-1,1
event_mean,121.91,0,1
event_stdv,3.941,0,1
event_length,0.00465,0,1
event_mean,88.08,1,1
event_stdv,2.058,1,1
event_length,0.00465,1,1
event_mean,84.38,2,1
event_stdv,2.015,2,1
event_length,0.00498,2,1
event_mean,118.9108,-2,1
event_stdv,5.04436,-2,1
event_length,0.004955,-2,1
event_mean,117.901535,-1,1
event_stdv,4.152308,-1,1
event_length,0.004958,-1,1
event_mean,122.365105,0,1
event_stdv,10.268082,0,1
event_length,0.01139,0,1
event_mean,90.87,1,1
event_stdv,7.117,1,1
event_length,0.00598,1,1
event_mean,81.064285,2,1
event_stdv,1.781214,2,1
event_length,0.007223,2,1
event_mean,119.51,-2,1
event_stdv,4.91,-2,1
event_length,0.01892,-2,1
event_mean,119.18658,-1,1
event_stdv,4.839434,-1,1
event_length,0.013569,-1,1
event_mean,117.69,0,1
event_stdv,4.009,0,1
event_length,0.00697,0,1
event_mean,88.425,1,1
event_stdv,1.846,1,1
event_length,0.00531,1,1
event_mean,80.79,2,1
event_stdv,1.772263,2,1
event_length,0.007162,2,1
event_mean,114.119934,-2,1
event_stdv,5.753228,-2,1
event_length,0.009691,-2,1
event_mean,116.06267,-1,1
event_stdv,4.864733,-1,1
event_length,0.008232,-1,1
event_mean,120.81,0,1
event_stdv,4.138,0,1
event_length,0.00631,0,1
event_mean,88.77,1,1
event_stdv,2.049,1,1
event_length,0.0093,1,1
event_mean,80.29,2,1
event_stdv,1.943,2,1
event_length,0.00299,2,1
event_mean,114.803406,-2,1
event_stdv,4.917375,-2,1
event_length,0.009516,-2,1
event_mean,116.63,-1,1
event_stdv,1.276,-1,1
event_length,0.0083,-1,1
event_mean,112.05,0,1
event_stdv,6.828,0,1
event_length,0.00531,0,1
event_mean,80.55,1,1
event_stdv,1.015,1,1
event_length,0.00299,1,1
event_mean,77.72,2,1
event_stdv,1.202,2,1
event_length,0.00531,2,1
event_mean,114.97059,-2,1
event_stdv,5.086,-2,1
event_length,0.007225,-2,1
event_mean,122.188,-1,1
event_stdv,3.25125,-1,1
event_length,0.003353,-1,1
event_mean,128.17,0,1
event_stdv,5.775,0,1
event_length,0.00332,0,1
event_mean,91.04952,1,1
event_stdv,2.876667,1,1
event_length,0.005851,1,1
event_mean,84.405,2,1
event_stdv,0.814389,2,1
event_length,0.003133,2,1
event_mean,118.36,-2,1
event_stdv,5.561,-2,1
event_length,0.00299,-2,1
event_mean,117.97,-1,1
event_stdv,4.211164,-1,1
event_length,0.014839,-1,1
event_mean,124.087074,0,1
event_stdv,9.553154,0,1
event_length,0.010793,0,1
event_mean,90.41875,1,1
event_stdv,3.302063,1,1
event_length,0.005829,1,1
event_mean,85.38,2,1
event_stdv,1.048,2,1
event_length,0.00365,2,1
event_mean,112.36698,-2,1
event_stdv,4.867472,-2,1
event_length,0.007295,-2,1
event_mean,115.715,-1,1
event_stdv,2.2945,-1,1
event_length,0.00232,-1,1
event_mean,116.95,0,1
event_stdv,4.899,0,1
event_length,0.0083,0,1
event_mean,87.155266,1,1
event_stdv,1.821895,1,1
event_length,0.003233,1,1
event_mean,84.67,2,1
event_stdv,1.54,2,1
event_length,0.00465,2,1
event_mean,116.65758,-2,1
event_stdv,6.260994,-2,1
event_length,0.00864,-2,1
event_mean,120.03621,-1,1
event_stdv,1.801517,-1,1
event_length,0.003424,-1,1
event_mean,115.99,0,1
event_stdv,5.175,0,1
event_length,0.00432,0,1
event_mean,86.286865,1,1
event_stdv,2.038804,1,1
event_length,0.006281,1,1
event_mean,79.12,2,1
event_stdv,1.74,2,1
event_length,0.00564,2,1
event_mean,115.30876,-2,1
event_stdv,4.862062,-2,1
event_length,0.00809,-2,1
event_mean,117.01237,-1,1
event_stdv,5.388056,-1,1
event_length,0.014928,-1,1
event_mean,116.69,0,1
event_stdv,6.285,0,1
event_length,0.01062,0,1
event_mean,87.03,1,1
event_stdv,2.263,1,1
event_length,0.01162,1,1
event_mean,82.86,2,1
event_stdv,1.441,2,1
event_length,0.00564,2,1
event_mean,115.0907,-2,1
event_stdv,5.852643,-2,1
event_length,0.011167,-2,1
event_mean,123.14,-1,1
event_stdv,4.274,-1,1
event_length,0.01394,-1,1
event_mean,88.0212,1,1
event_stdv,1.77068,1,1
event_length,0.004955,1,1
event_mean,83.69091,2,1
event_stdv,1.460455,2,1
event_length,0.007849,2,1
event_mean,116.02,-2,1
event_stdv,6.652,-2,1
event_length,0.02424,-2,1
event_mean,119.330734,-1,1
event_stdv,6.446253,-1,1
event_length,0.028743,-1,1
event_mean,118.89,0,1
event_stdv,5.185,0,1
event_length,0.03187,0,1
event_mean,85.79891,1,1
event_stdv,1.746141,1,1
event_length,0.00661,1,1
event_mean,80.67658,2,1
event_stdv,1.859408,2,1
event_length,0.006262,2,1
event_mean,115.42,-2,1
event_stdv,6.16,-2,1
event_length,0.00996,-2,1
event_mean,116.64075,-1,1
event_stdv,5.472729,-1,1
event_length,0.017658,-1,1
event_mean,114.46,0,1
event_stdv,8.222,0,1
event_length,0.0083,0,1
event_mean,89.91,1,1
event_stdv,8.512,1,1
event_length,0.00465,1,1
event_mean,82.03,2,1
event_stdv,1.094,2,1
event_length,0.00266,2,1
